,ID,compound_id,Smiles,pKi,e0,e1,e2,e3
168,169,CHEMBL1940404,OC1(c2ccc(Cl)cc2)CCN(CCCOc2ccc(F)cc2)CC1,6.155771419,0.06551389667718506,-0.11680181494909535,0.16597581785634713,0.023456263199905084
169,170,CHEMBL2171038,Cc1ccccc1S(=O)(=O)NC(=O)N1CCC(N2CCC(Oc3ccc(Cl)c(Cl)c3)CC2)CC1,7.299988938,0.213543995026824,0.028159090678390845,-0.05964170219792772,-0.14971864366457774
170,171,CHEMBL4287623,OC1(c2ccc(Cl)c(C(F)(F)F)c2)CCN(CCCC=C(c2ccc(F)cc2)c2ccc(F)cc2)CC1,6.143875556,0.08950802546026147,-0.005264753824823425,0.06723647715631784,-0.04690962376129206
171,172,CHEMBL283036,FC(F)(F)c1ccc(N2CCN(Cc3c[nH]c4ncccc34)CC2)cc1,5.0,-0.011100071280424938,-0.006311968899798536,0.0996322373114038,0.09297039926605628
172,173,CHEMBL648_NBI921993,CN1CCN(C(c2ccccc2)c2ccccc2)CC1,8.352323687,-0.21023193020620895,-0.14290576096066943,-0.03371826706151539,-0.040422872509771786
173,174,CHEMBL2171040,COc1ccccc1S(=O)(=O)NC(=O)N1CCC(N2CCC(Oc3ccc(Cl)c(Cl)c3)CC2)CC1,7.7000571,0.22423983657425764,0.035728818566426575,-0.0757104056197418,-0.15359514705905386
174,175,CHEMBL2207663,Cc1cc(Cl)ccc1OC1CCN(C[C@H](O)CNC(=O)c2c[nH]c(=O)cc2C(F)(F)F)CC1,8.0,0.1492564715752566,0.04040923378581675,-0.014534945471471772,-0.081718220569877
175,176,CHEMBL2151156,CC1(C)CCCN(CCCOc2ccc(C3CCN(C(=O)c4ccc(CCC(=O)O)c5ccccc45)CC3)cc2)C1,7.89997427,0.16930908181154497,-0.010041928413192316,-0.038409358052368975,-0.048224648467531064
176,177,CHEMBL1093294,COc1ncccc1[C@@H](C)c1c(CCN(C)C)sc2ccccc12,8.537602002,-0.23215830112675087,0.04956043483538487,-0.27332643122021705,0.03737185704507404
177,178,CHEMBL560741_NBI73077,CN(C)CCC1=C(Cc2ccc(F)cc2)c2ccccc2C1,9.22184875,-0.2745082614575697,-0.05510811436881491,-0.0821747253348015,0.02700347155642343
178,179,CHEMBL2376801,CCc1cnc2c(N3CC[C@@H](NC)C3)nc(N)nc2c1,4.950000176,-0.13072104402156207,0.10661570576272511,0.017286362525953558,0.11895494844571952
179,180,CHEMBL406678,Cc1ccc2c(-c3nnc(SCCCN4CCc5nc6ccccn6c5CC4)n3C)cccc2n1,5.700000504,0.12328024715676754,0.24714592956477832,-0.030740676348339605,0.07090890653083795
180,181,CHEMBL3233067,O=C1NC(c2ccccc2)(c2ccccc2)C(=O)N1CCCN1CCCCC1,5.210000001,0.020174332021456996,-0.051522119368075985,0.09688308215076886,-0.00882113535287335
181,182,CHEMBL250403,CCCN1CCO[C@H](c2cccc(O)c2)C1,5.698970004,-0.11530506199146401,-0.11212825289448572,0.01625068645629536,0.0387191968098097
182,183,CHEMBL2158820,O=C(O)[C@H](c1ccccc1)N1CCC(CN2CCC(Oc3ccc(Cl)c(Cl)c3)CC2)CC1,7.599980365,0.1706649012627741,0.009696210652514133,-0.009729089737564596,-0.172055977760574
183,184,CHEMBL1632158,COC(=O)CCCCCN1CCC(CNC(=O)c2c3n(c4ccccc24)CCCO3)CC1,5.899998417,0.16240346623157698,0.004067018641128228,0.00021569449092365668,0.008206720465761085
184,185,CHEMBL304714,CCCC(=O)c1ccc(OCCCN2CCN(C(=O)OCC)CC2)cc1,6.130000141,0.18476465504398568,-0.21751760450244473,-0.02260454184766818,0.21519453780185566
185,186,CHEMBL1628227,CN(C)CCC=C1c2ccccc2COc2ccccc21,9.843501558,-0.28522975105249304,-0.13448368667711197,-0.12925484522878,-0.03435114511323423
186,187,CHEMBL1940418,Fc1ccc(CCCCN2CCN(c3ccccn3)CC2)cc1,6.777283529,0.020516644028116808,-0.11540343508169754,0.17775873624451752,0.1152801128291132
187,188,CHEMBL3983211,CN1CCC(Oc2ccccc2)CC1,6.599997654,-0.1515910079376053,-0.13449730839527713,-0.009497027432919898,0.030279874887916412
188,189,CHEMBL3357027,CCOC(=O)N1CCC(=C2c3ccc(Cl)cc3CCc3ccc(C(=O)OC)nc32)CC1,5.0,0.005321418640997035,0.0607059843673367,-0.017124168148930852,0.0022350580044111215
189,190,CHEMBL256488,Cc1ccc2c(-c3nnc(SCCCN4CCc5ccc6nc(C(C)(F)F)oc6c5CC4)n3C)cccc2n1,5.800000875,0.16422416550392507,0.2617515128783199,-0.07743547407026473,0.06403887636761349
190,191,CHEMBL270239,Cc1ccc2c(-c3nnc(SCCC(C)N4CCc5cc6nc(C)oc6c(C)c5CC4)n3C)cccc2n1,5.599999383,0.12550407732815255,0.28692733811131016,-0.080256588817964,0.05905983637850733
